"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE100"	"SF19"	100	403	"M"	"F"	0.085368	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF21"	100	403	"M"	"F"	0.157829	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF22"	100	403	"M"	"M"	-0.03764	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF23"	100	403	"M"	"F"	0.230295	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF24"	100	403	"M"	"M"	0.105164	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF7"	100	403	"M"	"F"	-0.012448	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SF8"	100	403	"M"	"M"	0.081329	"22"	"0"	51130	20071.8316304218	636.15	31.5520421762505
"AE100"	"SGLT13"	100	605	"M"	"F"	-0.141673	"12"	"0"	23013.9	16319.6545612951	362.66	44.9998747071502
"AE100"	"SGLT14"	100	605	"M"	"F"	-0.29391	"12"	"0"	23013.9	16319.6545612951	362.66	44.9998747071502
"AE100"	"SGLT15"	100	605	"M"	"F"	-0.32057	"12"	"0"	23013.9	16319.6545612951	362.66	44.9998747071502
"AE100"	"SGLT16"	100	605	"M"	"M"	-0.320387	"12"	"0"	23013.9	16319.6545612951	362.66	44.9998747071502
"AE100"	"SGLT17"	100	605	"M"	"M"	-0.438736	"12"	"0"	23013.9	16319.6545612951	362.66	44.9998747071502
"AE100"	"SGLT18"	100	605	"M"	"F"	-0.2203	"12"	"0"	23013.9	16319.6545612951	362.66	44.9998747071502
"AE100"	"SGLT19"	100	605	"M"	"M"	-0.285053	"12"	"0"	23013.9	16319.6545612951	362.66	44.9998747071502
"AE100"	"SGLT20"	100	604	"M"	"F"	-0.244283	"12"	"0"	23615.5	15951.6300107544	366.62	43.5099831180906
"AE100"	"SGLT21"	100	604	"M"	"F"	-0.12652	"12"	"0"	23615.5	15951.6300107544	366.62	43.5099831180906
"AE100"	"SGLT22"	100	604	"M"	"F"	-0.12377	"12"	"0"	23615.5	15951.6300107544	366.62	43.5099831180906
"AE100"	"SGLT23"	100	604	"M"	"F"	0.046551	"12"	"0"	23615.5	15951.6300107544	366.62	43.5099831180906
"AE100"	"SGLT24"	100	604	"M"	"F"	0.162434	"12"	"0"	23615.5	15951.6300107544	366.62	43.5099831180906
"AE100"	"SGLT25"	100	604	"M"	"F"	0.047088	"12"	"0"	23615.5	15951.6300107544	366.62	43.5099831180906
"AE100"	"SGLT26"	100	604	"M"	"M"	0.220182	"12"	"0"	23615.5	15951.6300107544	366.62	43.5099831180906
"AE100"	"SGLT27"	100	603	"M"	"M"	0.017058	"12"	"0"	27134.7	18088.5882533712	408.3	44.302199983765
"AE100"	"SGLT28"	100	603	"M"	"F"	-0.02503	"12"	"0"	27134.7	18088.5882533712	408.3	44.302199983765
